Plant,Light,Watering,Humidity,Temperature,Fertilizer,Pruning,Propagation,Notes,
Rosemary,"""Full sun""","""Moderate""","""Well-drained""","""Balanced""","""Warm""","""Low""","""Regularly""","""Cuttings""",
Lavender,"""Full sun""","""Moderate""","""Well-drained""","""Low""","""Warm""","""Low""","""After flowering""","""Cuttings""",
Sage,"""Full sun""","""Moderate""","""Well-drained""","""Low""","""Warm""","""Low""","""After flowering""","""Cuttings""",
Thyme,"""Full sun""","""Moderate""","""Well-drained""","""Low""","""Warm""","""Low""","""After flowering""","""Cuttings""",
Oregano,"""Full sun""","""Moderate""","""Well-drained""","""Low""","""Warm""","""Low""","""After flowering""","""Cuttings""",
Basil,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Seeds""",
Mint,"""Partial shade""","""Regular""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""Pinch back""","""Division""",
Parsley,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""Pinch back""","""Seeds""",
Dill,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""Pinch back""","""Seeds""",
Chives,"""Full sun""","""Moderate""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""Regularly""","""Division""",
Peppers,"""Full sun""","""Moderate""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""Regularly""","""Seeds""",
Tomatoes,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Seeds""",
Cucumbers,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Seeds""",
Zucchini,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Seeds""",
Squash,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Seeds""",
Beans,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Warm""","""Moderate""","""Pinch back""","""Seeds""",
Peas,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""Pinch back""","""Seeds""",
Strawberries,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""Pinch back""","""Runners""",
Blueberries,"""Partial shade""","""Regular""","""Acidic""","""Balanced""","""Cool""","""Moderate""","""After flowering""","""Cuttings""",
Raspberries,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""After flowering""","""Division""",
Blackberries,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""After flowering""","""Division""",
Apples,"""Full sun""","""Regular""","""Well-drained""","""Balanced""","""Cool""","""Moderate""","""After flowering""","""Grafting""",
